id,ayah_no_quran,surah_no,surah_name_ar,surah_name_en,surah_name_roman,ayah_no_surah,text_ar,text_en_primary,text_en_yusufali,text_en_pickthall,text_en_arberry,juz_no,ruko_no,hizb_quarter,manzil_no,place_of_revelation,sajdah_ayah,no_of_words,topic,subtopic
37,37,2,البقرة,The Cow,Al-Baqarah,30,وَإِذْ قَالَ رَبُّكَ لِلْمَلَٰٓئِكَةِ إِنِّى جَاعِلٌۭ فِى ٱلْأَرْضِ خَلِيفَةًۭ ۖ قَالُوٓا۟ أَتَجْعَلُ فِيهَا مَن يُفْسِدُ فِيهَا وَيَسْفِكُ ٱلدِّمَآءَ وَنَحْنُ نُسَبِّحُ بِحَمْدِكَ وَنُقَدِّسُ لَكَ ۖ قَالَ إِنِّىٓ أَعْلَمُ مَا لَا تَعْلَمُونَ,"˹Remember˺ when your Lord said to the angels, “I am going to place a successive ˹human˺ authority on earth.” They asked ˹Allah˺, “Will You place in it someone who will spread corruption there and shed blood while we glorify Your praises and proclaim Your holiness?” Allah responded, “I know what you do not know.”","Behold, thy Lord said to the angels: ""I will create a vicegerent on earth."" They said: ""Wilt Thou place therein one who will make mischief therein and shed blood?- whilst we do celebrate Thy praises and glorify Thy holy (name)?"" He said: ""I know what ye know not.""","And when thy Lord said unto the angels: Lo! I am about to place a viceroy in the earth, they said: Wilt thou place therein one who will do harm therein and will shed blood, while we, we hymn Thy praise and sanctify Thee ? He said: Surely I know that which ye know not.","And when thy Lord said to the angels, ’I am setting in the earth a viceroy.’ They said, ’What, wilt Thou set therein one who will do corruption there, and shed blood, while We proclaim Thy praise and call Thee Holy?’ He said, ’Assuredly I know that you know not.’",1,5,2,1,Medinan,FALSE,30,Laws & Jurisprudence,Creation & Natural Signs
38,38,2,البقرة,The Cow,Al-Baqarah,31,وَعَلَّمَ ءَادَمَ ٱلْأَسْمَآءَ كُلَّهَا ثُمَّ عَرَضَهُمْ عَلَى ٱلْمَلَٰٓئِكَةِ فَقَالَ أَنۢبِـُٔونِى بِأَسْمَآءِ هَٰٓؤُلَآءِ إِن كُنتُمْ صَٰدِقِينَ,"He taught Adam the names of all things, then He presented them to the angels and said, “Tell Me the names of these, if what you say is true?”","And He taught Adam the nature of all things; then He placed them before the angels, and said: ""Tell me the nature of these if ye are right.""","And He taught Adam all the names, then showed them to the angels, saying: Inform Me of the names of these, if ye are truthful.","And He taught Adam the names, all of them; then He presented them unto the angels and said, ’Now tell Me the names of these, if you speak truly.’",1,5,2,1,Medinan,FALSE,15,Laws & Jurisprudence,
39,39,2,البقرة,The Cow,Al-Baqarah,32,قَالُوا۟ سُبْحَٰنَكَ لَا عِلْمَ لَنَآ إِلَّا مَا عَلَّمْتَنَآ ۖ إِنَّكَ أَنتَ ٱلْعَلِيمُ ٱلْحَكِيمُ,"They replied, “Glory be to You! We have no knowledge except what You have taught us. You are truly the All-Knowing, All-Wise.”","They said: ""Glory to Thee, of knowledge We have none, save what Thou Hast taught us: In truth it is Thou Who art perfect in knowledge and wisdom.""","They said: Be glorified! We have no knowledge saving that which Thou hast taught us. Lo! Thou, only Thou, art the Knower, the Wise.","They said, ’Glory be to Thee! We know not save what Thou hast taught us. Surely Thou art the All-knowing, the All-wise.’",1,5,2,1,Medinan,FALSE,13,Laws & Jurisprudence,
40,40,2,البقرة,The Cow,Al-Baqarah,33,قَالَ يَٰٓـَٔادَمُ أَنۢبِئْهُم بِأَسْمَآئِهِمْ ۖ فَلَمَّآ أَنۢبَأَهُم بِأَسْمَآئِهِمْ قَالَ أَلَمْ أَقُل لَّكُمْ إِنِّىٓ أَعْلَمُ غَيْبَ ٱلسَّمَٰوَٰتِ وَٱلْأَرْضِ وَأَعْلَمُ مَا تُبْدُونَ وَمَا كُنتُمْ تَكْتُمُونَ,"Allah said, “O Adam! Inform them of their names.” Then when Adam did, Allah said, “Did I not tell you that I know the secrets of the heavens and the earth, and I know what you reveal and what you conceal?”","He said: ""O Adam! Tell them their natures."" When he had told them, God said: ""Did I not tell you that I know the secrets of heaven and earth, and I know what ye reveal and what ye conceal?""","He said: O Adam! Inform them of their names, and when he had informed them of their names, He said: Did I not tell you that I know the secret of the heavens and the earth ? And I know that which ye disclose and which ye hide.","He said, ’Adam, tell them their names.’ And when he had told them their names He said, ’Did I not tell you I know the unseen things of the heavens and earth? And I know what things you reveal, and what you were hiding.’",1,5,2,1,Medinan,FALSE,23,Laws & Jurisprudence,Creation & Natural Signs
41,41,2,البقرة,The Cow,Al-Baqarah,34,وَإِذْ قُلْنَا لِلْمَلَٰٓئِكَةِ ٱسْجُدُوا۟ لِءَادَمَ فَسَجَدُوٓا۟ إِلَّآ إِبْلِيسَ أَبَىٰ وَٱسْتَكْبَرَ وَكَانَ مِنَ ٱلْكَٰفِرِينَ,"And ˹remember˺ when We said to the angels, “Prostrate before Adam,” becoming unfaithful.","And behold, We said to the angels: ""Bow down to Adam"" and they bowed down. Not so Iblis: he refused and was haughty: He was of those who reject Faith.","And when We said unto the angels: Prostrate yourselves before Adam, they fell prostrate, all save Iblis. He demurred through pride, and so became a disbeliever..","And when We said to the angels, ’Bow yourselves to Adam’; so they bowed themselves, save Iblis; he refused, and waxed proud, and so he became one of the unbelievers.",1,5,2,1,Medinan,FALSE,13,Laws & Jurisprudence,
42,42,2,البقرة,The Cow,Al-Baqarah,35,وَقُلْنَا يَٰٓـَٔادَمُ ٱسْكُنْ أَنتَ وَزَوْجُكَ ٱلْجَنَّةَ وَكُلَا مِنْهَا رَغَدًا حَيْثُ شِئْتُمَا وَلَا تَقْرَبَا هَٰذِهِ ٱلشَّجَرَةَ فَتَكُونَا مِنَ ٱلظَّٰلِمِينَ,"We cautioned, “O Adam! Live with your wife in Paradise and eat as freely as you please, but do not approach this tree, or else you will be wrongdoers.”","We said: ""O Adam! dwell thou and thy wife in the Garden; and eat of the bountiful things therein as (where and when) ye will; but approach not this tree, or ye run into harm and transgression.""","And We said: O Adam! Dwell thou and thy wife in the Garden, and eat ye freely (of the fruits) thereof where ye will; but come not nigh this tree lest ye become wrong-doers.","And We said, ’Adam, dwell thou, and thy wife, in the Garden, and eat thereof easefully where you desire; but draw not nigh this tree, lest you be evildoers.’",1,5,2,1,Medinan,FALSE,18,Laws & Jurisprudence,Marriage
43,43,2,البقرة,The Cow,Al-Baqarah,36,فَأَزَلَّهُمَا ٱلشَّيْطَٰنُ عَنْهَا فَأَخْرَجَهُمَا مِمَّا كَانَا فِيهِ ۖ وَقُلْنَا ٱهْبِطُوا۟ بَعْضُكُمْ لِبَعْضٍ عَدُوٌّۭ ۖ وَلَكُمْ فِى ٱلْأَرْضِ مُسْتَقَرٌّۭ وَمَتَٰعٌ إِلَىٰ حِينٍۢ,"But Satan deceived them—leading to their fall from the ˹blissful˺ state they were in, You will find in the earth a residence and provision for your appointed stay.”","Then did Satan make them slip from the (garden), and get them out of the state (of felicity) in which they had been. We said: ""Get ye down, all (ye people), with enmity between yourselves. On earth will be your dwelling-place and your means of livelihood - for a time.""","036 But Satan caused them to deflect therefrom and expelled them from the (happy) state in which they were; and We said: Fall down, one of you a foe unto the other! There shall be for you on earth a habitation and provision for a time.","Then Satan caused them to slip therefrom and brought them out of that they were in; and We said, ’Get you all down, each of you an enemy of each; and in the earth a sojourn shall be yours, and enjoyment for a time.’",1,5,2,1,Medinan,FALSE,21,Laws & Jurisprudence,Creation & Natural Signs
44,44,2,البقرة,The Cow,Al-Baqarah,37,فَتَلَقَّىٰٓ ءَادَمُ مِن رَّبِّهِۦ كَلِمَٰتٍۢ فَتَابَ عَلَيْهِ ۚ إِنَّهُۥ هُوَ ٱلتَّوَّابُ ٱلرَّحِيمُ,"Then Adam was inspired with words ˹of prayer˺ by his Lord, so He accepted his repentance. Surely He is the Accepter of Repentance, Most Merciful.","Then learnt Adam from his Lord words of inspiration, and his Lord Turned towards him; for He is Oft-Returning, Most Merciful.","Then Adam received from his Lord words (of revelation), and He relented toward him. Lo! He is the relenting, the Merciful.","Thereafter Adam received certain words from his Lord, and He turned towards him; truly He turns, and is All-compassionate.",1,5,2,1,Medinan,FALSE,12,Laws & Jurisprudence,
45,45,2,البقرة,The Cow,Al-Baqarah,38,قُلْنَا ٱهْبِطُوا۟ مِنْهَا جَمِيعًۭا ۖ فَإِمَّا يَأْتِيَنَّكُم مِّنِّى هُدًۭى فَمَن تَبِعَ هُدَاىَ فَلَا خَوْفٌ عَلَيْهِمْ وَلَا هُمْ يَحْزَنُونَ,"We said, “Descend all of you! Then when guidance comes to you from Me, whoever follows it, there will be no fear for them, nor will they grieve.","We said: ""Get ye down all from here; and if, as is sure, there comes to you Guidance from me, whosoever follows My guidance, on them shall be no fear, nor shall they grieve.","We said: Go down, all of you, from hence; but verily there cometh unto you from Me a guidance; and whoso followeth My guidance, there shall no fear come upon them neither shall they grieve.","We said, ’Get you down out of it, all together; yet there shall come to you guidance from Me, and whosoever follows My guidance, no fear shall be on them, neither shall they sorrow.",1,5,2,1,Medinan,FALSE,18,Laws & Jurisprudence,
46,46,2,البقرة,The Cow,Al-Baqarah,39,وَٱلَّذِينَ كَفَرُوا۟ وَكَذَّبُوا۟ بِـَٔايَٰتِنَآ أُو۟لَٰٓئِكَ أَصْحَٰبُ ٱلنَّارِ ۖ هُمْ فِيهَا خَٰلِدُونَ,But those who disbelieve and deny Our signs will be the residents of the Fire. They will be there forever.”,"""But those who reject Faith and belie Our Signs, they shall be companions of the Fire; they shall abide therein.""","But they who disbelieve, and deny Our revelations, such are rightful Peoples of the Fire. They will abide therein.","As for the unbelievers who cry lies to Our signs, those shall be the inhabitants of the Fire, therein dwelling forever.’",1,5,2,1,Medinan,FALSE,11,Laws & Jurisprudence,
47,47,2,البقرة,The Cow,Al-Baqarah,40,يَٰبَنِىٓ إِسْرَٰٓءِيلَ ٱذْكُرُوا۟ نِعْمَتِىَ ٱلَّتِىٓ أَنْعَمْتُ عَلَيْكُمْ وَأَوْفُوا۟ بِعَهْدِىٓ أُوفِ بِعَهْدِكُمْ وَإِيَّٰىَ فَٱرْهَبُونِ,"O children of Israel! Remember My favours upon you. Fulfil your covenant and I will fulfil Mine, and stand in awe of Me ˹alone˺.","O Children of Israel! call to mind the (special) favour which I bestowed upon you, and fulfil your covenant with Me as I fulfil My Covenant with you, and fear none but Me.","O Children of Israel! Remember My favour wherewith I favoured you, and fulfil your (part of the) covenant, I shall fulfil My (part of the) covenant, and fear Me.","Children of Israel, remember My blessing wherewith I blessed you, and fulfil My covenant and I shall fulfil your covenant; and have awe of Me.",1,6,2,1,Medinan,FALSE,13,Laws & Jurisprudence,
48,48,2,البقرة,The Cow,Al-Baqarah,41,وَءَامِنُوا۟ بِمَآ أَنزَلْتُ مُصَدِّقًۭا لِّمَا مَعَكُمْ وَلَا تَكُونُوٓا۟ أَوَّلَ كَافِرٍۭ بِهِۦ ۖ وَلَا تَشْتَرُوا۟ بِـَٔايَٰتِى ثَمَنًۭا قَلِيلًۭا وَإِيَّٰىَ فَٱتَّقُونِ,Believe in My revelations which confirm your Scriptures. And be mindful of Me.,"And believe in what I reveal, confirming the revelation which is with you, and be not the first to reject Faith therein, nor sell My Signs for a small price; and fear Me, and Me alone.","And believe in that which I reveal, confirming that which ye possess already (of the Scripture), and be not first to disbelieve therein, and part not with My revelations for a trifling price, and keep your duty unto Me.","And believe in that I have sent down, confirming that which is with you, and be not the first to disbelieve in it. And sell not My signs for a little price; and fear you Me.",1,6,2,1,Medinan,FALSE,19,Laws & Jurisprudence,
49,49,2,البقرة,The Cow,Al-Baqarah,42,وَلَا تَلْبِسُوا۟ ٱلْحَقَّ بِٱلْبَٰطِلِ وَتَكْتُمُوا۟ ٱلْحَقَّ وَأَنتُمْ تَعْلَمُونَ,Do not mix truth with falsehood or hide the truth knowingly.,"And cover not Truth with falsehood, nor conceal the Truth when ye know (what it is).","Confound not truth with falsehood, nor knowingly conceal the truth.","And do not confound the truth with vanity, and do not conceal the truth wittingly.",1,6,2,1,Medinan,FALSE,8,Laws & Jurisprudence,
50,50,2,البقرة,The Cow,Al-Baqarah,43,وَأَقِيمُوا۟ ٱلصَّلَوٰةَ وَءَاتُوا۟ ٱلزَّكَوٰةَ وَٱرْكَعُوا۟ مَعَ ٱلرَّٰكِعِينَ,"Establish prayer, pay alms-tax, and bow down with those who bow down.",And be steadfast in prayer; practise regular charity; and bow down your heads with those who bow down (in worship).,"Establish worship, pay the poor-due, and bow your heads with those who bow (in worship).","And perform the prayer, and pay the alms, and bow with those that bow.",1,6,2,1,Medinan,FALSE,7,Laws & Jurisprudence,
51,51,2,البقرة,The Cow,Al-Baqarah,44,۞ أَتَأْمُرُونَ ٱلنَّاسَ بِٱلْبِرِّ وَتَنسَوْنَ أَنفُسَكُمْ وَأَنتُمْ تَتْلُونَ ٱلْكِتَٰبَ ۚ أَفَلَا تَعْقِلُونَ,"Do you preach righteousness and fail to practice it yourselves, although you read the Scripture? Do you not understand?","Do ye enjoin right conduct on the people, and forget (To practise it) yourselves, and yet ye study the Scripture? Will ye not understand?",Enjoin ye righteousness upon mankind while ye yourselves forget (to practise it) ? And ye are readers of the Scripture! Have ye then no sense ?,"Will you bid others to piety, and forget yourselves while you recite the Book? Do you not understand?",1,6,3,1,Medinan,FALSE,12,Laws & Jurisprudence,
